idstatefrom,idaction,idstateto,probability,reward
0,0,0,0.05010000000000041,999.9999999999942
0,0,1,0.11020000000000213,999.9999999999856
0,0,2,0.21599999999999253,1000.0000000000241
0,0,3,0.257099999999988,1000.0000000000362
0,0,4,0.21609999999999252,1000.0000000000242
0,0,5,0.10330000000000193,999.9999999999858
0,0,6,0.03840000000000007,999.999999999999
0,0,7,0.007500000000000007,999.9999999999989
0,0,8,0.0010000000000000002,999.9999999999998
0,0,9,3.0000000000000003e-4,999.9999999999999
0,1,0,0.05220000000000047,199.99999999999812
0,1,1,0.10880000000000209,199.99999999999568
0,1,2,0.2061999999999936,200.00000000001015
0,1,3,0.2608999999999876,200.00000000001322
0,1,4,0.21199999999999297,200.00000000001066
0,1,5,0.11290000000000221,199.99999999999554
0,1,6,0.03700000000000003,199.99999999999977
0,1,7,0.009000000000000001,199.99999999999994
0,1,8,9.000000000000002e-4,199.99999999999994
0,1,9,1e-4,200
0,2,0,0.04880000000000037,159.99999999999858
0,2,1,0.1094000000000021,159.99999999999733
0,2,2,0.20679999999999354,159.9999999999999
0,2,3,0.2653999999999871,160
0,2,4,0.21159999999999302,159.9999999999999
0,2,5,0.11470000000000226,159.99999999999716
0,2,6,0.03539999999999999,159.9999999999999
0,2,7,0.007200000000000006,159.99999999999986
0,2,8,7.000000000000001e-4,160
0,3,0,0.04670000000000031,119.99999999999932
0,3,1,0.11080000000000215,119.99999999999757
0,3,2,0.21499999999999264,120.00000000000567
0,3,3,0.2543999999999883,120.00000000000644
0,3,4,0.21149999999999303,120.0000000000055
0,3,5,0.11130000000000216,119.99999999999757
0,3,6,0.03960000000000011,119.99999999999987
0,3,7,0.009599999999999997,120.00000000000003
0,3,8,0.0011000000000000003,119.99999999999987
0,4,0,0.04850000000000036,80
0,4,1,0.10170000000000189,79.99999999999913
0,4,2,0.21219999999999295,79.99999999999996
0,4,3,0.2607999999999876,80
0,4,4,0.21749999999999237,79.99999999999996
0,4,5,0.11560000000000228,79.99999999999878
0,4,6,0.03469999999999997,80.00000000000014
0,4,7,0.0078000000000000074,80.00000000000009
0,4,8,0.0010000000000000002,80.00000000000011
0,4,9,2e-4,80.00000000000011
1,0,0,4e-4,999
1,0,1,0.011699999999999985,999.0000000000007
1,0,2,0.0532000000000005,998.9999999999883
1,0,3,0.11560000000000228,998.9999999999777
1,0,4,0.2108999999999931,999.0000000000157
1,0,5,0.23469999999999047,999.0000000000177
1,0,6,0.19339999999999502,999.000000000014
1,0,7,0.1162000000000023,998.9999999999776
1,0,8,0.04850000000000036,998.9999999999898
1,0,9,0.012799999999999978,999.000000000001
1,0,10,0.0022,998.9999999999998
1,0,11,4e-4,999
1,1,0,0.0063000000000000035,198.99999999999997
1,1,1,0.04740000000000033,198.99999999999858
1,1,2,0.1127000000000022,198.9999999999956
1,1,3,0.18489999999999596,199.00000000000423
1,1,4,0.24319999999998954,199.00000000000801
1,1,5,0.20489999999999375,199.00000000000577
1,1,6,0.12770000000000226,198.99999999999588
1,1,7,0.051700000000000454,198.99999999999807
1,1,8,0.016499999999999956,199.0000000000008
1,1,9,0.0043999999999999985,199.00000000000014
1,1,10,3.0000000000000003e-4,199
1,2,0,0.0039999999999999975,159.00000000000009
1,2,1,0.04470000000000025,158.99999999999858
1,2,2,0.10340000000000193,158.99999999999793
1,2,3,0.2061999999999936,159.00000000000196
1,2,4,0.24659999999998916,159.00000000000216
1,2,5,0.20609999999999362,159.00000000000196
1,2,6,0.11750000000000234,158.99999999999793
1,2,7,0.05180000000000046,158.9999999999984
1,2,8,0.016099999999999958,159.00000000000034
1,2,9,0.002899999999999999,159.00000000000006
1,2,10,7.000000000000001e-4,158.99999999999997
1,3,0,0.003499999999999998,119
1,3,1,0.040900000000000145,118.99999999999937
1,3,2,0.11170000000000217,118.99999999999757
1,3,3,0.193699999999995,119.00000000000456
1,3,4,0.25049999999998873,119.00000000000686
1,3,5,0.21509999999999263,119.00000000000578
1,3,6,0.12240000000000248,118.99999999999757
1,3,7,0.046200000000000296,118.9999999999989
1,3,8,0.01239999999999998,119.00000000000023
1,3,9,0.0032999999999999982,119
1,3,10,2e-4,118.99999999999989
1,3,11,1e-4,118.99999999999989
1,4,0,8.000000000000001e-4,79.0000000000001
1,4,1,0.04450000000000025,79.00000000000013
1,4,2,0.10950000000000211,79.00000000000011
1,4,3,0.20039999999999425,79.00000000000203
1,4,4,0.2553999999999882,79.00000000000212
1,4,5,0.21969999999999212,79.00000000000206
1,4,6,0.11410000000000224,79.00000000000011
1,4,7,0.04220000000000018,79.00000000000013
1,4,8,0.01079999999999999,79.00000000000016
1,4,9,0.0024,79.00000000000011
1,4,10,1e-4,79.00000000000011
1,4,11,1e-4,79.00000000000011
2,0,0,1e-4,996
2,0,1,0.0012000000000000003,996
2,0,2,0.0067000000000000046,995.9999999999991
2,0,3,0.02419999999999991,996.000000000005
2,0,4,0.06460000000000082,995.9999999999948
2,0,5,0.12610000000000243,995.9999999999933
2,0,6,0.1880999999999956,996.0000000000425
2,0,7,0.2054999999999937,996.000000000047
2,0,8,0.1816999999999963,996.0000000000402
2,0,9,0.11730000000000233,995.9999999999945
2,0,10,0.05780000000000063,995.9999999999957
2,0,11,0.020099999999999934,996.0000000000033
2,0,12,0.0051,995.9999999999998
2,0,13,0.0014000000000000004,995.9999999999999
2,0,14,1e-4,996
2,1,0,0.0037999999999999974,196.0000000000002
2,1,1,0.02219999999999992,196.00000000000088
2,1,2,0.05810000000000064,195.9999999999995
2,1,3,0.1231000000000025,195.99999999999946
2,1,4,0.17059999999999753,196.00000000000577
2,1,5,0.211799999999993,196.00000000001245
2,1,6,0.18509999999999593,196.000000000009
2,1,7,0.12480000000000255,195.99999999999946
2,1,8,0.06300000000000078,195.9999999999995
2,1,9,0.028399999999999884,196.00000000000094
2,1,10,0.0067000000000000046,196.00000000000009
2,1,11,0.0019000000000000006,195.99999999999994
2,1,12,5e-4,195.99999999999997
2,2,0,0.0019000000000000006,155.99999999999997
2,2,1,0.015399999999999962,156.0000000000004
2,2,2,0.05220000000000047,155.99999999999858
2,2,3,0.12000000000000241,155.9999999999972
2,2,4,0.18389999999999607,156.0000000000055
2,2,5,0.2198999999999921,156.00000000000642
2,2,6,0.18849999999999556,156.00000000000574
2,2,7,0.12980000000000202,155.9999999999978
2,2,8,0.05760000000000062,155.99999999999815
2,2,9,0.023099999999999916,156.0000000000004
2,2,10,0.0063000000000000035,155.99999999999994
2,2,11,0.0011000000000000003,155.99999999999997
2,2,12,2e-4,156
2,2,13,1e-4,156
2,3,0,8.000000000000001e-4,115.99999999999987
2,3,1,0.011199999999999988,116.00000000000004
2,3,2,0.04800000000000035,115.99999999999862
2,3,3,0.11150000000000217,115.99999999999721
2,3,4,0.1871999999999957,116.00000000000372
2,3,5,0.23339999999999061,116.00000000000593
2,3,6,0.1999999999999943,116.0000000000046
2,3,7,0.1327000000000017,115.99999999999804
2,3,8,0.05570000000000057,115.99999999999818
2,3,9,0.016099999999999958,116.00000000000014
2,3,10,0.0024,115.99999999999991
2,3,11,7.000000000000001e-4,115.99999999999987
2,3,12,3.0000000000000003e-4,115.99999999999989
2,4,0,2e-4,76.00000000000011
2,4,1,0.008300000000000005,76.00000000000007
2,4,2,0.04530000000000027,75.99999999999982
2,4,3,0.11210000000000218,75.99999999999916
2,4,4,0.20199999999999407,76.00000000000222
2,4,5,0.23739999999999017,76.00000000000297
2,4,6,0.20419999999999383,76.00000000000222
2,4,7,0.1230000000000025,75.99999999999909
2,4,8,0.049600000000000394,75.99999999999982
2,4,9,0.014499999999999968,76.00000000000024
2,4,10,0.0031999999999999984,76.00000000000011
2,4,11,2e-4,76.00000000000011
3,0,1,2e-4,991
3,0,2,0.0011000000000000003,990.9999999999998
3,0,3,0.005700000000000002,990.9999999999993
3,0,4,0.018499999999999944,991.0000000000028
3,0,5,0.046500000000000305,990.9999999999932
3,0,6,0.08150000000000131,990.9999999999769
3,0,7,0.12880000000000214,990.999999999977
3,0,8,0.16489999999999816,990.9999999999993
3,0,9,0.17699999999999683,991.0000000000063
3,0,10,0.14350000000000052,990.9999999999844
3,0,11,0.11230000000000219,990.9999999999734
3,0,12,0.06580000000000086,990.9999999999869
3,0,13,0.033899999999999944,991.0000000000013
3,0,14,0.014899999999999965,991.0000000000019
3,0,15,0.0038999999999999972,991.0000000000005
3,0,16,0.0013000000000000004,990.9999999999997
3,0,17,1e-4,991
3,0,18,1e-4,991
3,1,0,0.0030999999999999986,191.00000000000009
3,1,1,0.013099999999999976,191.0000000000001
3,1,2,0.04190000000000017,190.99999999999866
3,1,3,0.07400000000000109,190.99999999999704
3,1,4,0.1310000000000019,190.99999999999633
3,1,5,0.15839999999999888,191.00000000000054
3,1,6,0.17379999999999718,191.0000000000018
3,1,7,0.1516999999999996,191.0000000000001
3,1,8,0.12660000000000238,190.9999999999954
3,1,9,0.07050000000000099,190.99999999999704
3,1,10,0.03489999999999997,190.99999999999957
3,1,11,0.014799999999999966,191.0000000000001
3,1,12,0.0043999999999999985,191.00000000000009
3,1,13,0.0016000000000000005,190.99999999999997
3,1,14,1e-4,191
3,1,15,1e-4,191
3,2,0,0.0016000000000000005,150.99999999999997
3,2,1,0.011499999999999986,151.00000000000006
3,2,2,0.03259999999999991,151.0000000000004
3,2,3,0.07740000000000119,150.9999999999991
3,2,4,0.12520000000000253,150.99999999999858
3,2,5,0.17209999999999737,151.00000000000213
3,2,6,0.18499999999999595,151.0000000000022
3,2,7,0.17159999999999742,151.00000000000213
3,2,8,0.11410000000000224,150.99999999999906
3,2,9,0.06270000000000077,150.9999999999991
3,2,10,0.03059999999999987,151.00000000000063
3,2,11,0.011899999999999984,151.00000000000006
3,2,12,0.0029999999999999988,151
3,2,13,6.000000000000001e-4,151
3,2,14,1e-4,151
3,3,0,9.000000000000002e-4,110.99999999999986
3,3,1,0.007000000000000005,110.99999999999984
3,3,2,0.026299999999999896,111.00000000000041
3,3,3,0.06610000000000087,110.99999999999828
3,3,4,0.12780000000000225,110.99999999999675
3,3,5,0.18389999999999607,111.00000000000091
3,3,6,0.20849999999999336,111.00000000000128
3,3,7,0.175399999999997,111.00000000000068
3,3,8,0.1163000000000023,110.99999999999633
3,3,9,0.05760000000000062,110.99999999999854
3,3,10,0.022099999999999922,111.00000000000031
3,3,11,0.0067000000000000046,110.99999999999984
3,3,12,0.0012000000000000003,110.99999999999984
3,3,13,2e-4,110.99999999999987
3,4,0,2e-4,71.00000000000011
3,4,1,0.0029999999999999988,71.00000000000014
3,4,2,0.019399999999999938,71.00000000000034
3,4,3,0.06170000000000074,70.99999999999936
3,4,4,0.13160000000000183,70.9999999999995
3,4,5,0.20479999999999376,71.00000000000185
3,4,6,0.21509999999999263,71.00000000000186
3,4,7,0.18109999999999637,71.00000000000169
3,4,8,0.1125000000000022,70.99999999999916
3,4,9,0.05060000000000042,70.99999999999955
3,4,10,0.01599999999999996,71.0000000000003
3,4,11,0.003399999999999998,71.00000000000014
3,4,12,6.000000000000001e-4,71.00000000000011
4,0,1,1e-4,984
4,0,2,4e-4,984
4,0,3,0.0021000000000000003,984.0000000000002
4,0,4,0.008000000000000007,983.9999999999989
4,0,5,0.016299999999999957,984.000000000002
4,0,6,0.03479999999999997,983.9999999999997
4,0,7,0.05710000000000061,983.9999999999882
4,0,8,0.0881000000000015,983.9999999999776
4,0,9,0.12500000000000255,983.9999999999753
4,0,10,0.139200000000001,983.9999999999875
4,0,11,0.1428000000000006,983.9999999999901
4,0,12,0.13440000000000152,983.999999999984
4,0,13,0.10160000000000188,983.9999999999745
4,0,14,0.06560000000000085,983.9999999999862
4,0,15,0.04360000000000022,983.9999999999925
4,0,16,0.02389999999999991,984.000000000004
4,0,17,0.009599999999999997,983.9999999999998
4,0,18,0.004599999999999999,984.0000000000003
4,0,19,0.0022,984.0000000000003
4,0,20,4e-4,984
4,0,21,2e-4,984
4,1,0,0.0026999999999999993,184.00000000000003
4,1,1,0.011399999999999987,184.00000000000017
4,1,2,0.034999999999999976,184.00000000000023
4,1,3,0.05890000000000066,183.99999999999815
4,1,4,0.09430000000000167,183.9999999999977
4,1,5,0.12260000000000248,183.9999999999966
4,1,6,0.14320000000000055,183.99999999999972
4,1,7,0.15229999999999955,184.00000000000114
4,1,8,0.1327000000000017,183.99999999999804
4,1,9,0.10300000000000192,183.99999999999724
4,1,10,0.070600000000001,183.99999999999815
4,1,11,0.03790000000000006,183.99999999999991
4,1,12,0.019499999999999938,184.00000000000065
4,1,13,0.010099999999999994,184.00000000000003
4,1,14,0.0043999999999999985,183.99999999999997
4,1,15,8.000000000000001e-4,183.99999999999997
4,1,16,5e-4,184
4,1,17,1e-4,184
4,2,0,0.0023,143.99999999999994
4,2,1,0.008200000000000006,143.99999999999994
4,2,2,0.023399999999999914,144.00000000000048
4,2,3,0.05220000000000047,143.99999999999855
4,2,4,0.09090000000000158,143.99999999999787
4,2,5,0.13350000000000162,143.99999999999957
4,2,6,0.1635999999999983,143.99999999999991
4,2,7,0.16409999999999825,143.99999999999991
4,2,8,0.13760000000000117,143.99999999999972
4,2,9,0.10280000000000192,143.99999999999787
4,2,10,0.0638000000000008,143.99999999999835
4,2,11,0.03700000000000003,143.99999999999977
4,2,12,0.014299999999999969,144.0000000000003
4,2,13,0.004099999999999998,144.00000000000006
4,2,14,0.0018000000000000006,143.99999999999997
4,2,15,4e-4,144
4,3,0,6.000000000000001e-4,103.99999999999989
4,3,1,0.0051,103.9999999999999
4,3,2,0.014399999999999968,104.00000000000004
4,3,3,0.042700000000000196,103.99999999999928
4,3,4,0.08650000000000145,103.99999999999842
4,3,5,0.13760000000000117,103.99999999999902
4,3,6,0.17569999999999697,104.00000000000178
4,3,7,0.18689999999999574,104.00000000000253
4,3,8,0.15319999999999945,103.99999999999956
4,3,9,0.1094000000000021,103.99999999999758
4,3,10,0.0532000000000005,103.99999999999889
4,3,11,0.023699999999999912,104.00000000000026
4,3,12,0.008200000000000006,103.99999999999979
4,3,13,0.0022,103.9999999999999
4,3,14,4e-4,103.99999999999989
4,3,15,2e-4,103.99999999999989
4,4,0,3.0000000000000003e-4,64.00000000000011
4,4,1,8.000000000000001e-4,64.0000000000001
4,4,2,0.009699999999999997,64.00000000000017
4,4,3,0.03439999999999996,64.00000000000007
4,4,4,0.07910000000000124,64.00000000000001
4,4,5,0.14120000000000077,64.00000000000007
4,4,6,0.19759999999999456,64.00000000000017
4,4,7,0.2090999999999933,64.00000000000021
4,4,8,0.16289999999999838,64.00000000000011
4,4,9,0.09740000000000176,64.00000000000001
4,4,10,0.047200000000000325,64.00000000000001
4,4,11,0.015199999999999964,64.00000000000021
4,4,12,0.004299999999999998,64.00000000000011
4,4,13,8.000000000000001e-4,64.0000000000001
5,0,2,5e-4,975.0000000000001
5,0,3,7.000000000000001e-4,975
5,0,4,0.0019000000000000006,974.9999999999999
5,0,5,0.005400000000000001,975.0000000000002
5,0,6,0.015399999999999962,975.0000000000031
5,0,7,0.025399999999999902,975.0000000000048
5,0,8,0.0463000000000003,974.9999999999953
5,0,9,0.07320000000000107,974.9999999999825
5,0,10,0.09140000000000159,974.9999999999786
5,0,11,0.11080000000000215,974.9999999999786
5,0,12,0.1256000000000025,974.9999999999791
